texto,calificacion,lugar,categoria,fuente
"El lugar está en una ubicación privilegiada, cerca de todo. La tranquilidad de salir y entrar al hotel en cualquier momento y sin restricciones. Las zonas verdes son muy hermosas y ni hablar de los animalitos del lugar, todos bien guapos. La cama me pareció incómoda y no había muchos enchufes cerca de las camas",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Las vistas al volcán, la zona de juegos, la habitación, los colibríes, todo al detalle",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Bungalows cómodos, nuevos, amplios y con todo lo necesario.Amolio baño muy bien compartimentado. Porche muy agradable con vistas al volcán, aparcamiento al lado de tu bungalow. El wifi no funcionaba dentro del bungalow y en el porche tambien la señal era débil, es cierto que estábamos en el último bungalow.
Se oía sobre todo en la noche el ruido de la carretera débilmente.",5,Hotel Roca Negra del Arenal,alojamiento,booking
Ubicación y atención del personal Nada,5,Hotel Roca Negra del Arenal,alojamiento,booking
"La cama enorme y muy comoda. Aire acondicionado, tv plana, nevera, etc. No tienes servicios de comida ni cena.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Muy limpio y acogedor 
Estuvimos en una cabaña  para 4 y era muy amplia 
Las camas muy cómodas
Es muy bonito el entorno y el personal muy amable Todo correcto quizás q no incluye el desayuno y hay q pagarlo a parte",5,Hotel Roca Negra del Arenal,alojamiento,booking
La vista al volcan Olor a humedad en la habitacion,5,Hotel Roca Negra del Arenal,alojamiento,booking
"El personal de hotel nos trató muy bien, el hotel está súper cuidado, en un entorno maravilloso y con un estilo acorde a la zona. Impresionantes vistas del Volcán Arenal Aunque las habitaciones tienen aire acondicionado que funciona perfectamente. Un ventilador de techo vendría muy bien",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Piscina muy linda con jacuzzi
Desayuno muy rico (pagando aparte)
Cafe y te de cortesia a la tarde
Quincho con vajilla de uso comun
Vista genial
Habitacion comoda con espacio afuera con silloncitos y hamaca Todo ok",5,Hotel Roca Negra del Arenal,alojamiento,booking
Vistas.intimidad.jacuzzi.dos camas Que hay que pagar todo en efectivo,5,Hotel Roca Negra del Arenal,alojamiento,booking
Jardines y ubicacion. Vista al volcan. Tener que irme,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Vistas, instalaciones y atención personal El ruido de la nevera de la habitación",5,Hotel Roca Negra del Arenal,alojamiento,booking
Excelente ubicación Que no tuviera el servicio para almuerzos y cenas,5,Hotel Roca Negra del Arenal,alojamiento,booking
"El hotel es increíble.
Todo cuidado al minimo detalle y lleno de vegetación y animales.
El personal super atento, sobretodo Dunia que nos ayudo en todo momento.
Las vistas inigualables,super recomendable.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Tamaño muy grande de la habitación con la plaza de aparcamiento a la puerta. Múltiples colibríes por todos lados, personal muy simpático Los espejos del baño están colgados muy bajos, si eres alto tienes que agacharte para verte la cara. Echamos en falta bollería en el desayuno tipo croissant, magdalenas o bizcocho",5,Hotel Roca Negra del Arenal,alojamiento,booking
"la cabaña  q me quedé espectacular, con vista la volcan y la vegetación muy bien cuidada que no me quedé más días jajaja",5,Hotel Roca Negra del Arenal,alojamiento,booking
Lugar y ubicación Q no vendan comidas,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Buenas habitaciones e instalaciones en general. 
Excelente atención de su personal Ruido de carretera en sector de piscina y comedor",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El lugar muy lindo, tranquilo, limpio con mucha naturaleza al rededor. Está muy cerca del centro de la la fortuna por lo que puedes ir a disfrutar del montón de ofertas gastronómicas que ofrece el lugar. El personal es muy amable y servicial.",5,Hotel Roca Negra del Arenal,alojamiento,booking
Divino,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Me encantó la atención del personal, la habitación grande , el baño tenía shampoo y jabon líquidos de buena calidad. La cama super cómoda. Las sillas mesedoras y hamaca de lujo, la privacidad de las habitaciones ya que están separadas y que cuentan con su propio parqueo. Realmente no hubo nada que hiciera quedar mal este alojamiento. Ah y la vista de la habitación qué me tocó hacia en volcan estuvo 10000 /10 Quizá sería bueno que en cada habitación haya estación de café /tes ya que estaba lejos de la zona de te que ofrecen para los huéspedes 🙏 por decir algo.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Las cabañas son muy comodas, tranquilas y muy espaciosas. La atención de los empleados y forma de ayudar fue satisfactorio. La limpieza estuvo muy bien. Las chicas de la cocina (desayuno)muy atentas hasta me cantaron el día de mi cumpleaños. No aceptan tarjeta de crédito. Solo efectivo o PayPal.",5,Hotel Roca Negra del Arenal,alojamiento,booking
Todas las instalaciones en perfecto estado y la combinación de la naturaleza y las habitaciones ya que lo hacen muy privado e ideal para el descanso Realmente todo del hotel me gusto,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Es un sitio precioso con una atención de 10. Nos hicieron sentir como en casa y nos proporcionaron todo lo que necesitábamos. Al llegar por la noche nos tenían preparado hasta el jacuzzi, vamos trato de 10. El desayuno también espectacular. Por ponerle un pero, nos hubiera gustado que tuvieran servicio de cenas para poder disfrutar más de las instalaciones sin tener que salir.",5,Hotel Roca Negra del Arenal,alojamiento,booking
